,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent,in_balanced_dataset
195,Customer Service Rep,"US, MO, Grandview",customer service,,,"<p>We are seeking a Customer Service Representative who enjoys building relationships, helping others, solving problems, and organizing a demanding schedule. The ideal candidate is independent, confident, and customer focused with good time management skills, strong communication skills and excellent computer aptitude that can help resolve customer problems both internally and externally.</p>",,,f,f,f,Full-time,Not Applicable,High School or equivalent,Telecommunications,Customer Service,t,t
798,Licensed Life Insurance Agent,"US, WA, Seattle",Sales,,,"<p>We need someone who is smart, funny, great with people, wants to make a difference and also make great money...is that you?ÃÂ  We are currently recruiting seasoned and new agents in your area to help us continue the momentum. The insurance industry is stable and our company is growing. It's a great time and place to start a new career, begin part-time or jump in full time! Let us show you how this is NOT a typical insurance sales opportunity. 75K+ potential a year with managers earning 150K and more. Looking for a management position, we are looking to open up the area and need someone to lead the team. Send me your resume ÃÂ  ÃÂ Not licensed? that's OK we will help you get one.</p>",,,f,t,f,Full-time,Not Applicable,High School or equivalent,Insurance,Sales,t,t
882,Receptionist/ Administrative Assistan,"US, MS, Meridian",,,,"<p>Our company is seeking Receptionist/ Administrative Assistant to monitor multi-line phones, greet visitors, and assist with various clerical duties as needed. Must possess a professional demeanor and basic computer skills, including Word, Excel and Outlook. This is a full-time position with an excellent benefits package, including 401(k).</p>",<p>What Administrative Support Positions Do We Specialize In?<br>Administrative Assistant<br>Data Entry Clerk<br>Executive Assistant<br>HR Assistant / Office Clerk<br>Receptionist<br>Sales Administration<br>Sales &amp; Marketing Assistant<br>Office Manager<br>Inside / Outside Sales<br>Call Center / Customer Service<br>Accounting Support<br>Collections<br><br>Working hours: Monday - Friday ; Standard Business Hours</p>,,f,f,f,Full-time,Entry level,,Building Materials,Administrative,t,t
837,Data Entry Clerk,"US, DC, ",,48000-55000,"<p>DRS Technologies is a leading supplier of integrated products, services and support to military forces, intelligence agencies and prime contractors worldwide. Focused on defense technology, the Company develops, manufactures and supports a broad range of systems for mission critical and military sustainment requirements, as well as homeland security.ÃÂ </p>
<p>The Company has been recognized as one of the fastest growing defense technology companies in the world and holds leading market positions in thermal imaging devices, combat display workstations, electronic sensor systems, power systems, rugged computer systems, air combat training systems, mission recorders, deployable flight incident recorders, environmental control systems, telecommunication systems, aircraft loaders, military trailers and shelters, and integrated logistics and support services.ÃÂ </p>
<p>DRS strives to provide quality products and services and stand behind them, to invest in research and development and new market opportunities, and to leverage existing core defense programs and business areas.</p>","<p>DRS Technologies is committed to recruiting and retaining the best talent in the defense and aerospace industry and niche commercial technology areas. We offer an exciting and challenging work environment, a competitive salary and benefits package, and a business culture that rewards performance. DRS Technologies is seeking forÃÂ administrative and executive assistants to receptionists, data entry clerks, and customer service representatives.</p>
<p>In the Data Entry Clerk role, you must be able to multitask and pay exceptional attention to details. We are seeking a dedicated individual with excellent customer service and communication skills. You must be able to work independently, learn quickly, and exercise sound judgment.ÃÂ </p>
<p>RESPONSIBILITIES<br><br>Performs a wide variety of activities, which may include one or more of the following:<br>-Processing invoices and data entry<br>-Matches and distributes A/P checks<br>-General Ledger EntriesÃÂ <br>-Bank reconciliationÃÂ <br>-Handling Transactions<br>-Maintain reports in Excel<br>-Inputting information from a variety of sources<br>-Clerical duties<br>-Data entry skills + 10 key helpful</p>","<p>Minimum of High School Diploma<br>Self-starter<br>Responsible &amp; dependable with good prioritization skills<br>Proficient in Microsoft Word, Excel and Outlook<br>Proficient with QuickBooks and/or other Accounting software<br>Understanding of customer service protocols<br>Strong phone presence<br>General Math Skills<br>Thoroughness and attention to detail</p>","<p>Benefits include:<br>Medical, Rx, and Wellness Benefits.<br>Dental and Vision Plan Options.<br>Short-term Disability.<br>401(k) Retirement Plan.<br>Holiday Pay.</p>",f,t,f,Full-time,Entry level,High School or equivalent,,Data Analyst,t,t
683,Accounting Clerk($20/hr),"US, NY, New York",,,,"<p>Maverick FX, established in 1997, is an award-winning trading firm that focuses that focuses primarily on trading short to <br>intermediate time frames in the spot currency market. We are currently seeking Accounting Clerks</p>
<p>The Accounting clerk will work in a team environment providing general clerical, accounting and office support. Primary duties will <br>include but are not limited to: data entry (both numerical and alphabetical) , filing, bank statement reconciliation. Generating clientÃ¢ÂÂs <br>monthly financial statements. Handling Rebates The hours of the position are 8:00-1:00 M-F . This is an excellent entry level <br>growth opportunity for someone with an interest in Accounting.</p>
<p></p>
<p>Desired Skills/ Experience/Attributes<br>Proven track record of dependability and reliability<br>Experience with a 10-key calculator, Microsoft Word and Excel preferred<br>QuickBooks knowledge a plus<br>Interest or experience in Accounting preferred<br>Knowledge of bank reconciliation a plus<br>Will be responsible for General Ledger Entries<br>Will be responsible for Handling REBATES<br>Generating monthly financial statements</p>",<p>Able to Work from Home .<br>Has the ability to work in a team-oriented environment.<br>Is dependable and reliable and flexible to work overtime as needed<br>Is quick and accurate when entering data<br>Is honest and trust worthy<br>Is committed to providing a high level of customer service.</p>,<p>Paid TrainingÃÂ </p>,f,f,f,Full-time,Entry level,High School or equivalent,Accounting,Accounting/Auditing,t,t
814,Network Marketing,"US, CA, ",,7200-1380000,,"<p>Are you looking to make anywhere from 600-115,000$ a month? Are you looking to be paid to take vacations? Are you tired of working a 9-5 with no ability to grow in your field. Do you want to be your own boss and set your own schedule of when you work? If you answer yes to any of these than we have the perfect opportunity for you. Our company is based on 3 principles 1.Saving Money 2.Making Money 3.Managing Money. We offer financial soulutions to help you live financially free while making money showing others. We have over 5,800 national brand retailers where we recieve discounts.</p>","<p>An ambition to succeed, A desire to be the best at our field and not be discourage when people turn you down. If you have these qualities than you are perfect for this business</p>","<p>Residual Income, Travel dollars, Car Dollars, the ability to rise in pay grade rapidly as long as you put in the work you will see results</p>",f,f,f,Full-time,Not Applicable,Unspecified,Marketing and Advertising,,t,t
413,Account Executive,"US, FL, Winter Park",,,,"<p>We here at DG3 are looking for competitive sales people who are looking to break into a new market of the way digital advertising is sold. With an incredibly high yield, we want to put together a top notch sales team that not only want to work for us but with us to take over the digital billboard industry one sale at a time. We have a vast inventory that spreads throughout Central Florida and, coupled with our inventory of radio advertising, are able to work with our clients to set up packages that have never been available before in billboard sales. This allows us to handle business with companies who, as of yet, were unable to break into that arena, while still catering to our larger clients such as Maserati and Yuengling.ÃÂ  We have reached our maximum output with our current structure and want sales people who are leaders and could possibly be running their own sales team in the future. The compensation is a 15% commission on all sales with <b>residual compensation</b>! This commission is the highest, by far, in the industry because of our business model. We will also be reviewing your work at the end of two months to plan a base salary and offer benefits! Join us and see why DG3 is the future in digital media advertising.</p>","<p>A Bachelors Degree is preferred but not a necessity.</p>
<p>Sales experience is preferred.</p>
<p>Knowledge of the Central Florida area.</p>",<p>Benefits will be made available at the end of your two month evaluation.</p>,f,t,f,Full-time,Associate,Unspecified,Marketing and Advertising,Advertising,f,t
515,Business Development Specialist,"US, UT, Salt Lake City",Sales,,,"<h3><b>About the Company:</b></h3>
<p>EventBoard (<a href=""#URL_e9a162738bb23995b0abd1da7888da9790f6868933e07271969b32f2396ecb7f#"" rel=""nofollow"" class=""external"">#URL_d92e56692206b4d5d56bda4b7b524138245744cf3857d4257482f21ad1b549ea#</a>)ÃÂ started out as a simple concept to use the iPad as a meeting room display, indicating whether a room was occupied or available. Upon that concept, we have grown into one of the most exciting VC backed startups in Utah. EventBoard has been implemented by over 500 different clients across the world. Today, weÃ¢ÂÂre focused on building EventBoard into a predictive analytics platform that will allow companies to track and optimize the workplace. The platform provides companies with the tools and software needed to track and analyze key data on company resources, allowing them to become more aware and more efficient. WeÃ¢ÂÂve seen the amazing ways companies are currently using EventBoard and are excited to see how companies will take advantage of the platform as it develops.</p>
<p>To handle our rapid growth, weÃ¢ÂÂre looking to add amazing new talent to our team. We believe in collaborationÃ¢ÂÂwe work hard together and we have fun together. ItÃ¢ÂÂs a team thing and we like it that way. We want someone who is self-driven, detail-oriented, and consistently achieves their goals. Sound like you? Awesome, keep reading.</p>
<h3><b>About the Role:</b></h3>
<p>EventBoard is looking for a high-energy, self-starting, organized and individual with a desire to prove him or herself and move up the ranks. We are looking for a talented Sales Setter who will contact and qualify inbound and outbound inquiries for our sales team to close. This is commission based entry level sales position. There will be opportunity for advancement in this position if desired.</p>
<h3><b>How you will rock this position:</b></h3>
<ul>
<li>Responsible for acquiring key prospect data from the initial conversation and putting that correctly into SalesForce.</li>
<li>Serve as the initial point of contact with inbound prospects and with some outbound calling on targeted companies</li>
<li>Responsible for acquiring key prospect data from the initial conversation, from the web and other sources, and posting that data correctly in #URL_8d92932a488fb7e172d73a0f6813d06d464f1f03705d2825f86b2c7947d60a86#</li>
<li>Responsible to set initial appointment with Sales Team and if appointment is not held, to reschedule with the prospect</li>
<li>Reach or exceed performance metrics on dials, profiles, appointments set, and conversion to a totally qualified opportunity</li>
<li>Serve as the initial point of contact with inbound prospects and with some outbound calling on targeted companies</li>
<li>Prospect, educate and qualify leads to create sales-ready opportunities</li>
<li>Keep abreast of the industry and technologies to ensure you are a trusted resource to prospects and customers</li>
<li>Successfully manage and overcome prospect objections</li>
<li>Maintain a thorough knowledge of products, pricing and processes.</li>
</ul>","<ul>
<li>Strong familiarity with Apple and iOS products.</li>
<li>Experience in B2B sales is preferred</li>
<li>Experience using Salesforce preferred.</li>
<li>Excellent oral and written communication plus ability to communicate via telephone in an effective manner is required.</li>
<li>Must be a team player with a positive attitude.</li>
</ul>","<p>Bring your awesome self and your passion for amazing products to help build this company into something incredible and weÃ¢ÂÂll provide sweet things like a competitive salary, unlimited PTO, 100% paid health insurance, snacks and drinks, and Pizza Fridays (and sometimes Tuesdays or Thursdays). See the particular job requirements and then apply below.</p>",f,t,f,,,,,Sales,f,t
333,Marketplace Operations at Lexoo,"GB, LND, London",,20000-260000,"<p>Based in Hoxton, London, Forward Partners are a Ã¢ÂÂstartup catalystÃ¢ÂÂ, combining investment with practical hands-on expertise and insight.</p>
<p>We're investors in very early stage ecommerce companies. ÃÂ Our team have the experience to enable entrepreneurs to succeed. ÃÂ We do more than advise and mentor. We help the best entrepreneurs quickly find a great product-market fit with our expertise in customer discovery, coding, design, customer acquisition, testing and analysis as well as offering office space.</p>
<p>Companies invested in include: Hailo, Zopa, Wool and the Gang, Thread, Big Health, Stylect, Makers Academy, Blik Book, DriftRock, Top10, SnapTrip, Loyalty Bay and Appear Here</p>","<p><b>About us</b></p>
<p>Based in Hoxton, London (5 min from Silicon Roundabout), we are revolutionizing the legal market, by offering start-ups and others a quick and easy way to compare and find the right solicitor.</p>
<p>ÃÂ Our mission is to make the process of comparing and hiring solicitors less of a massive pain, by introducing radical transparency and guiding customers to those solicitors that actually provide value for money (weÃ¢ÂÂll never understand why clients should be paying for marble offices and armies of assistants!).</p>
<p>ÃÂ We work out of #URL_5c58a3a9d7b083306a96492e9c126cc9ce68ca2ee417442bffdcb1b6a9ccf47b#Ã¢ÂÂ (our investors) brand new offices in Hoxton, London, together with 4 of their other portfolio companies.ÃÂ </p>","<p><b>About the role </b></p>
<p>ÃÂ At Lexoo, you will:</p>
<ul>
<li>Be responsible for managing all aspects of the client/lawyer marketplace</li>
<li>Be responsible for recruiting, onboarding and educating new marketplace lawyers</li>
<li>Be responsible for talking to customers and scoping out their legal need</li>
<li>Be responsible for collecting and analyzing supply-side marketplace and product feedback</li>
<li>Be required to make product recommendations to improve marketplace efficiencies and implement processes</li>
<li>Be the go-to person at Lexoo for our lawyer community</li>
<li>Own and assess all marketplace data</li>
<li>Be a team player in a small, flat-structured, highly collaborative environment.</li>
<li>Be surrounded by highly talented professionals doing the best work of their lives, and having fun with it.</li>
</ul><p>ÃÂ </p>
<p>As an ideal candidate:</p>
<ul>
<li>You have a legal background</li>
<li>You are outgoing, friendly, and love having a laugh</li>
<li>You donÃ¢ÂÂt mind talking to customers and lawyers over the phone and are organized</li>
<li>You will love implementing processes and building products</li>
<li>You are a leader, capable of assembling and leading teams</li>
<li>You are comfortable building things from scratch</li>
<li>You enjoy working in small teams at pace</li>
</ul><p>ÃÂ </p>
<p>This is an exciting chance to work in a funded, early stage start-up at the heart of LondonÃ¢ÂÂs tech scene, focused on changing the legal market for good! As we are a young company there is a lot of scope to grow with the company and be exposed to other areas of the business.ÃÂ </p>","<p><b>Compensation</b></p>
<p>ÃÂ£ 22 Ã¢ÂÂ 26k, depending on experience + equityÃÂ </p>",f,t,f,Full-time,,Bachelor's Degree,Legal Services,Customer Service,f,t
53,Payroll Data Coordinator Positions - Earn $100-$200 Daily ,"US, PA, Abbottstown ",,,,"<p>We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.</p>
<p>Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!</p>
<p>- Set your own hours<br> - Make money every time you decide to work<br> - Work remotely from home<br> - Get paid weekly<br> - If you have a computer with internet, this is for you</p>","<p>Requirements</p>
<p>All you need is access to the Internet and you can participate.ÃÂ Computer with Internet access, valid email address, good typing skillsÃÂ  ÃÂ </p>
<p></p>
<p></p>","<p>This is an entry level position and we offer full online training. You do NOT need any special skills to get started.</p>
<p></p>
<p>Earn as much as you can doing data entry. <br><br> Complete Training provided before you start working and itÃ¢ÂÂs easy to start! <br> ________________________________________</p>
<p>DonÃ¢ÂÂt let this opportunity pass you by.</p>
<p>POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOW</p>
<p>If you fit the above description and meet the requirements, please apply stating your location<b></b></p>
<p><b>Apply at:</b>ÃÂ #EMAIL_c9b5d8a60f3d80be13dd02ffe5d212c047b92ba679c296dfae7c102952fbb534#</p>",f,f,f,,,,,,t,t
210,Research and policy intern,"GB, LND, London",PR,,"<p><b>Want to build a 21st century financial service?</b></p>
<p>We're convinced that that there is a need for innovation in financial services and that current banks will not be the ones providing this.ÃÂ Instead this innovation will come from companies like TransferWise and we're on a hunt for great minds who think like we do.</p>","<p><b>About the company</b></p>
<p>TransferWise is a VC-backed, international money transfer start-up co-founded by SkypeÃ¢ÂÂs first employee and backed by some of planet's most experienced innovators, including Sir Richard Branson and PayPal founder Peter Thiel, we're disrupting the world of currency &amp; international money transfer. That means flipping a gazillion dollar industry on its head and taking power away from banks and the establishment.</p>
<p>From the Tea Building in Shoreditch, we're starting a little revolution. We're using technology to allow people to send money abroad without incurring punitive bank fees.</p>
<p>The trouble is, banks are very good at hiding their fees, so a lot of people have no idea that the banks are ripping them off. We need someone to help us run educational campaigns for proper transparency.</p>
<p>We're already making progress. The Times said we pose Ã¢ÂÂa challenge to the banksÃ¢ÂÂ, City A.M. said weÃ¢ÂÂre Ã¢ÂÂtransforming how we transfer moneyÃ¢ÂÂ and The Telegraph said weÃ¢ÂÂre set to Ã¢ÂÂspark a revolutionÃ¢ÂÂ.</p>
<p><b>About the role:</b></p>
<p>We're looking for someone confident with great research and writing skills to support our communications team.</p>
<p><b>Things youÃ¢ÂÂll be doing:</b></p>
<ul>
<li>Researching the ins-and-outs of international money transfer</li>
<li>Supporting a public affairs campaigns</li>
<li>Developing our stakeholder programme</li>
</ul>","<p><b>Requirements - must haves:</b></p>
<ul>
<li>Research experience. You can cut through the plethora of information on the internet to find concise answers to questions</li>
<li>Excellent writing skills. YouÃ¢ÂÂll be able to turn complex concepts and jargon into simple, compelling prose</li>
<li>Confident with numbers. You can mine, crunch and work magic with data to tell a story</li>
<li>Meticulously organised. YouÃ¢ÂÂll have a schedule for the schedule and keep to it</li>
<li>A Ã¢ÂÂmust change the worldÃ¢ÂÂ attitude</li>
</ul><p><b>Desirable - nice to haves:</b></p>
<ul>
<li>Experience working in the public affairs environment Ã¢ÂÂ be it working for an MP, a think tank or a public affairs agency</li>
<li>Campaigning experience</li>
<li>If you think you fit the bill, please apply through our website to Donata Huggins, attaching a CV and cover letter. We'll do our best to reply to everyone, but forgive us if we're inundated and can't get back to unsuccessful applicants</li>
</ul>",,f,t,t,Full-time,Internship,Bachelor's Degree,Public Policy,Research,f,t
